,postId,wordLevel,videoSpeed,subtitleLengthRatio,sectionLength,wordList
10,4332,28.16,11.99,0.14,6,"[no, complete, without, one, and, any, parent, will, tell, you, that, teenager, can, survive, mirror, on, the, wall, how, do, they, make, after, all, well, made, is, about, to, show, but, first, reflect, history, of, mirrors, earliest, were, curved, pieces, highly, polished, metal, such, as, brass, or, bronze, are, even, mentioned, in, bible, then, fourteenth, century, invented, very, crude, glass, reflected, off, a, metallic, backing, later, perfected, this, technique, using, an, amalgam, tin, mercury, eventually, secret, making, spread, other, cities, by, 1835, german, chemist, developed, silver, backed, we, know, today, starts, out, clear, robot, lays, each, panel, horizontally, conveyor, belt, ...]"
11,5021,25.44,9.36,0.08,1,"[the, fox, this, clever, canine, has, an, amazing, set, of, skills, deep, snow, covers, black, hills, and, hidden, under, that, icy, blanket, field, mice, are, stirring, odds, catching, anything, might, seem, hopeless, but, not, to, him, enormous, leap, catch, a, critter, three, feet, how, heck, did, he, do, it, homing, in, on, something, takes, immense, concentration, needs, complete, quiet, his, ears, can, pick, up, faintest, scamper, from, beneath, almost, always, comes, empty-handed, unless, facing, north, possible, as, unbelievable, sounds, scientists, now, think, actually, magnetic, planet, using, calculate, plot, trajectory, kind, math, missiles, use, hit, their, targets, just, slightest, distraction, throw, ...]"
12,4220,36.75,12.78,0.44,26,"[president, faust, members, of, the, harvard, corporation, and, board, faculty, proud, parents, above, all, graduates, first, thing, i, would, like, to, say, is, thank, you, not, only, has, given, me, an, extraordinary, honor, but, weeks, fear, nausea, have, endured, at, thought, giving, this, commencement, address, made, lose, weight, a, win-win, situation, now, do, take, deep, breaths, squint, red, banners, convince, myself, that, largest, gryffindor, reunion, delivering, great, responsibility, or, so, until, cast, my, mind, back, own, graduation, speaker, day, was, distinguished, british, philosopher, mary, warnock, reflecting, on, her, speech, helped, enormously, in, writing, one, because, it, turns, out, remember, single, ...]"
13,5186,17.65,10.89,0.16,3,"[i, see, the, moon, and, know, it, me, but, do, you, what, some, people, on, my, mom, says, she, sees, a, man, grandma, rabbit, hoho, cute, little, bunny, even, have, book, about, kitty, cat, who, thinks, is, bowl, of, milk, oh, dad, told, how, throughout, asia, fun, stories, think, flowers, fall, from, when, full, wow, like, that, he, said, bring, good, luck, most, famous, story, goddess, magically, flew, to, lived, there, at, jade, palace, parents, took, harvest, festival, in, san, francisco, california, this, giant, birthday, party, for, were, all, kinds, dancers, look, those, pretty, dresses, kung, fu, was, really, cool, ...]"
14,4215,26.22,14.89,0.09,7,"[here, is, a, fully, knackered, chicken, this, the, first, time, in, my, life, that, i, followed, instructions, of, roasting, on, packet, flabbergasted, dry, stringy, cremated, what, for, nineteen, minutes, hundred, ninety, degrees, like, it, says, can, get, you, roast, deserves, better, so, got, great, technique, to, best, out, favorite, bird, gonna, show, how, make, most, incredible, succulent, mouth-watering, ever, tasted, revolutionary, way, by, following, three, simple, steps, step, going, not, do, something, undo, trussing, and, does, squashes, legs, breasts, together, bit, cook, generally, chickens, are, only, trussed, appearance, packaging, an, even, temperature, around, just, open, next, trick, boosting, moisture, meat, ...]"
15,4200,28.53,14.65,0.1,6,"[not, a, pinecone, sponge, hairbrush, with, face, hedgehog, even, just, saying, the, word, makes, me, smile, they, are, so, cute, weighing, around, one, pound, this, tiny, creature, is, famous, for, its, five, to, seven, thousand, which, smooth, touch, like, on, brush, but, stick, out, every, way, when, curls, into, defensive, ball, these, little, arms, go, inside, and, kind, of, pop, in, duffle, coat, might, be, timid, some, them, have, still, made, it, big, sonic, best-known, video, game, characters, who, can, forget, mrs, tiggy-winkle, washerwoman, beatrix, books, yes, adored, by, that, mean, always, legal, own, before, you, purchase, good, idea, check, ...]"
16,4165,19.3,15.06,0.22,1,"[footage, has, been, released, of, a, get-away, attempt, which, left, him, running, through, glass, door, while, trying, to, flee, the, crime, scene, he, made, pretty, heavy, impact, when, actually, hit, was, knocked, out, incident, happened, after, man, stole, handbag, in, shopping, center, perth, western, australia, however, as, tried, run, away, crashed, window, shattering, and, being, ground, i, first, came, here, realise, it, bag, snatch, either, know, what, went, on, really, just, thought, somebody, ran, into, but, turned, saw, how, keen, get, we, realised, something, up, helped, his, feet, by, who, were, unaware, robbery, accomplice, then, escape, stolen, car, police, are, ...]"
17,4163,24.81,15.05,0.17,5,"[looking, for, a, dog, easy, to, train, well, keep, the, shiba, inu, is, very, intelligent, yet, independent, making, one, of, most, difficult, breeds, smart, enough, just, blow, you, off, if, mean, what, say, but, that, they, loyal, and, loving, during, 2004, earthquake, in, japan, famous, sought, out, guided, rescue, personnel, damaged, home, where, her, owners, an, elderly, man, his, granddaughter, were, trapped, gives, good, idea, how, courageous, these, dogs, are, which, means, brushwood, japanese, oldest, bred, hunt, boar, birds, even, bears, 1936, declared, breed, national, treasure, today, it, remains, land, rising, popular, companion, 2008, however, many, people, took, notice, named, ...]"
18,5895,27.3,15.54,0.23,6,"[for, the, gourmet, one, ingredient, sure, to, set, taste, buds, sizzling, from, frying, salad, dressing, olive, oil, is, an, essential, in, any, modern, kitchen, a, wide, variety, of, grades, and, flavors, are, available, but, they, all, have, thing, common, no, not, green, bottle, it, often, comes, olives, themselves, each, type, has, unique, by, combining, different, types, producer, can, create, with, individual, flavor, process, begins, at, harvest, traditional, method, involves, collecting, using, tiny, very, efficient, big, crop, like, this, farm, automated, harvester, used, instead, machine, surrounds, tree, literally, shakes, off, branches, fresh, fruit, collected, into, waiting, hopper, along, some, leaves, twigs, ...]"
19,5793,26.29,13.67,0.26,3,"[you, would, not, believe, the, mother, load, i, just, dropped, and, how, like, to, keep, it, leaving, a, trace, that, was, ever, here, let, alone, birthed, creamy, behemoth, from, my, bowels, nothing, is, worse, than, stinking, up, shared, toilet, at, work, or, party, your, apartment, of, course, flushing, removes, graphic, evidence, maybe, two, three, flushes, if, skid, marks, are, as, mine, but, what, can, be, done, subtle, scent, three-hundred-cow, dairy, farm, aerosol, air, most, effective, option, healthiest, trying, mask, stench, giving, nice, blend, chem-lab, carnations, with, touch, so, do, make, world, poop, stink, in, fact, never, all, poo~pourri, before-you-go, spray, ...]"
20,4013,28.67,14.32,0.05,5,"[hot, dogs, are, an, all-american, fare, but, most, likely, it, was, german, sausage, makers, who, first, came, up, with, the, idea, in, fact, there, reports, of, immigrant, selling, them, from, push, carts, new, bowery, as, far, back, 1860s, a, century, and, half, later, still, number, one, treat, on, street, traditional, made, mix, pork, beef, chicken, cuts, they, start, called, trimmings, pieces, meat, leftover, cutting, steaks, or, chops, grounded, same, way, butchers, chop, hamburger, by, pushing, through, grated, metal, plates, processed, added, to, ground, followed, food, starch, salt, other, flavorings, these, vary, depending, where, be, sold, because, people, different, regions, have, ...]"
21,5806,22.33,9.58,0.0,2,"[the, prairie, dogs, are, banded, together, and, build, an, underground, village, a, single, settlement, like, this, can, be, home, to, thousands, of, cousins, life, here, is, all, about, keeping, tabs, on, your, neighbor, eye, out, for, intruders, have, complex, communication, system, bark, distinct, calls, identify, different, snake, has, slithered, into, dog, town, curled, up, outside, den, full, young, but, one, brave, take, deadly, rattler, standoff, serpent, versus, rodent, she, must, drive, away, not, tunnels, where, her, babies, hiding, enough, venom, kill, two-hundred-pound, man, let, alone, three-pound, sharp, claws, teeth, nothing, mess, with, lures, from, step, by, gets, him, clear, sound, ...]"
22,3940,27.86,13.67,0.19,28,"[life, is, about, opportunities, creating, them, and, embracing, for, me, that, was, the, olympic, dream, what, defined, my, as, a, cross-country, skier, member, of, australian, ski, team, heading, towards, winter, olympics, i, on, training, bike, ride, with, fellow, we, made, our, way, up, spectacular, blue, mountains, west, sydney, it, perfect, autumn, day, sunshine, smell, eucalypt, good, been, bikes, around, five, half, hours, when, got, to, part, loved, hills, because, off, seat, started, pumping, legs, sucked, in, cold, mountain, air, could, feel, burning, lungs, looked, see, sun, shining, face, then, everything, went, black, where, happening, body, consumed, by, pain, hit, speeding, ...]"
23,5433,24.12,16.4,0.25,3,"[our, perception, of, the, world, around, us, is, strongly, linked, to, vision, but, how, do, you, know, what, seeing, real, can, really, trust, your, eyes, take, for, example, these, two, grey, rectangular, columns, both, which, are, different, shades, or, they, it, turns, out, that, exact, same, and, yet, even, after, knowing, illusion, there, refuse, see, them, as, introducing, colors, produces, result, i, promise, no, trick, photography, editing, effects, have, been, applied, in, fact, if, look, up, munker-white, come, across, many, more, examples, examine, photoshop, a, similar, effect, be, seen, with, this, checkerboard, tile, clearly, seems, darker, than, b, better, by, ...]"
24,4974,19.17,13.79,0.34,14,"[hey, jim, how, are, you, doing, your, dog, buster, fine, i, just, have, a, few, questions, if, free, to, talk, for, minutes, think, so, we, sure, come, on, back, seat, alright, up, do, this, paper, my, science, class, and, thought, be, good, person, since, take, care, of, our, the, is, about, know, always, telling, us, important, vaccinate, against, reason, too, that, around, world, over, fifty-five, thousand, people, die, from, every, year, one, ten, pretty, serious, disease, wow, realize, get, they, certainly, can, what, causes, well, caused, by, bullet-shaped, virus, damages, brain, rabid, dogs, been, reported, as, early, 2300, b, c, ...]"
25,3649,31.87,20.78,0.28,7,"[every, day, the, world, consumes, three, hundred, tons, of, caffeine, enough, for, one, cup, coffee, man, woman, and, child, largest, buyer, us, has, to, import, nearly, all, this, as, trees, from, which, is, harvested, will, only, grow, at, commercial, levels, between, tropic, cancer, capricorn, an, area, called, belt, a, single, state, hawaii, within, however, united, states, because, so, most, enthusiastic, per, capita, are, in, increasing, order, denmark, iceland, norway, champions, finland, where, they, drink, times, much, average, american, these, countries, outside, must, percent, their, supply, get, first, bees, pollinate, flowers, tree, develop, into, bright, red, berries, unlike, more, cooperative, domesticated, ...]"
26,7126,22.7,13.31,0.16,3,"[friends, best, continue, feisty, goodbye, comes, until, forever, last, not, may, days, playing, keep, cannot, unfortunately, but, together, bound, always, say, 250, about, 200, when, kilograms, 50, half, years, two, at, maturity, reaching, start, soon, as, split, enclosures, own, into, move, separated, be, grown, fully, once, playful, pretty, nature, from, naughtiest, first, take, come, one, dominant, food, over, argue, do, eat, will, for, available, that, anything, meat, types, feed, we, appetite, insatiable, any, like, time, all, tricks, to, up, get, mischievous, very, them, around, being, fun, great, six, she, milika, also, bella, is, old, months, five, romeo, delano, called, are, ...]"
27,8199,25.75,17.22,0.18,4,"[taught, been, think, i, brush, skilled, help, grip, controls, made, illustrating, down, contracts, up, forearm, your, you, when, each, against, work, tricep, bicep, pairs, attach, because, relaxes, passively, happen, extension, any, contracted, actively, contracting, skeleton, part, move, our, movement, responsible, digitorum, flexor, holding, muscle, relationship, has, fingers, motion, doing, what, really, boy, icky, kind, say, if, purpose, it, avoiding, like, seems, actually, touching, not, interestingly, civilization, build, allow, hands, wisdom, exemplar, an, sources, classical, according, which, hand, studying, notably, arm, muscles, about, learning, goal, common, organism, many-headed, as, seemingly, appear, cares, who, but, holds, that, list, through, identified, other, monarch, ...]"
28,8200,30.22,15.26,0.11,3,"[increased, sales, beer, celebrities, legends, sports, featured, commercials, lite, miller, 70s, claims, authority, celebrity, where, testimonial, endorsement, finish, has, better, argues, which, unfinished, believe, consumers, enough, true, sounds, but, ambiguous, vague, claim, weasel, superior, persuade, comparison, bad, not, beforehand, price, higher, naming, by, prime, security, confidence, trust, shows, blue, health, growth, green, youth, excitement, action, connotes, red, convey, trying, what, based, logos, choose, brands, associations, powerful, colors, side, righthand, appealing, when, success, greatest, encountered, sandwiches, bowls, cups, images, experimenting, researchers, imagined, heightens, ad, an, hand, dominant, toward, product, position, you, if, photoshop, models, their, size, pupil, increase, advertisers, major, most, ...]"
29,6151,26.9,14.78,0.39,3,"[transform, anywhere, about, cycle, shrink, flat, seem, gear, kids, yourself, carry, whether, so, biking, own, create, even, developer, software, if, cyclists, fellow, friends, share, environment, from, information, gather, activity, physical, monitor, customize, use, system, control, embedded, an, multiple, smart-locking, connectivity, batteries, removable, including, casing, red, within, contained, buttons, additional, no, kicks, motor, as, bike, normal, just, ride, easy, power, foot, regular, times, 10, 3, need, push, gives, downhill, or, brake, when, energy, captures, motion, seamlessly, integrates, pedal, how, learns, companion, riding, best, like, bring, clock, working, now, we, where, startup, superpedestrian, founded, licensed, inventors, original, its, cycling, for, places, innovative, ...]"
30,3762,30.53,15.02,0.03,4,"[chewing, gum, dates, back, to, the, ancient, who, chewed, resin, from, trees, modern, was, patented, in, u, s, 1869, by, believe, it, or, not, a, dentist, 1928, another, american, invented, bubblegum, comes, of, all, colors, and, sizes, but, for, blowing, bubbles, nothing, beats, chewy, gooey, pink, stuff, twist, wrap, starts, with, base, that, makes, traditionally, came, tree, today, synthetic, made, plastics, rubbers, they, pour, into, mixer, then, add, color, flavoring, as, begins, mixing, glucose, syrup, sweetener, because, liquid, helps, keep, soft, next, dextrose, powdered, blend, ingredients, about, 20, minutes, stirring, action, builds, up, heat, which, melts, everything, together, mixture, is, ...]"
31,50,24.51,12.81,0.12,3,"[the, american, shorthair, cat, is, among, best, on, earth, one, in, three, pounces, results, a, catch, fact, records, show, that, when, pilgrims, needed, pest, control, specialist, aboard, mayflower, got, gig, we, know, early, settlers, brought, cats, ships, and, these, were, very, precious, especially, it, came, to, treasure-hunting, during, california, gold, rush, miners, paid, several, wages, for, proven, rat-hunting, intelligent, healthy, great, hunter, dates, back, at, least, 10th, century, european, british, isles, britain, naturally, became, known, as, its, mousing, new, world, name, changed, again, first, domestic, later, but, here, too, bulked, up, bred, them, be, bigger, sturdier, today, breed, recognized, by, ...]"
32,5881,19.85,11.24,0.13,2,"[as, august, turns, into, september, the, days, grow, shorter, jet, stream, dips, south, leaving, door, wide, open, to, chilled, air, from, north, across, eastern, half, of, america, new, england, great, lakes, smoky, mountains, over, 26, billion, oak, trees, are, closing, up, shop, for, season, a, times, square, explosion, color, and, light, advertising, that, inside, forest, sale, is, on, everything, must, go, in, pennsylvania, like, day, after, thanksgiving, this, chipmunk, power-shopping, gathering, nuts, winter, while, supplies, last, his, cheeks, can, stretch, three, size, head, nut-collecting, serious, business, by, late, fall, he, will, have, amassed, about, 6, 000, all, stored, multi-chambered, underground, ...]"
33,4522,29.31,15.24,0.26,4,"[meet, the, cockroach, uber-survivor, and, closest, come, to, perfection, how, long, humans, have, been, around, this, is, dinosaurs, ruled, earth, now, consider, humble, roach, a, survivor, of, ice, ages, continent, breakups, asteroid, impacts, which, can, go, for, hours, without, oxygen, 90, days, food, 40, water, even, regrow, severed, limbs, decapitated, head, live, its, body, 12, on, other, hand, survive, up, dying, only, because, it, lacks, mouth, eat, with, there, are, 428, species, in, australia, most, common, german, if, one, female, moves, into, your, home, you, could, 100, 000, more, within, year, wherever, roaches, will, follow, outer, space, rumors, sightings, mir, ...]"
34,7130,17.55,16.12,0.16,8,"[hi, melissa, clark, from, the, dining, section, and, i, am, gonna, cut, up, a, chicken, so, you, might, be, thinking, why, is, she, bothering, to, can, buy, cut-up, in, supermarket, well, because, when, first, of, all, more, expensive, than, buying, whole, secondly, get, backbone, if, have, then, make, stock, by, cutting, your, own, save, money, bonus, pot, thing, do, remove, legs, find, this, space, that, connects, thigh, breast, over, here, little, slit, with, knife, once, made, kind, see, going, on, there, pull, leg, pop, bone, out, exposed, joint, right, just, wanna, through, same, other, side, separate, drumstick, flip, look, for, ...]"
35,6420,28.21,13.74,0.06,2,"[st, valentine, was, a, bishop, who, lived, in, the, third, century, rome, during, his, lifetime, roman, empire, crumbling, down, from, attacks, of, surrounding, tribes, emperor, ii, ruled, chaos, believed, that, marriage, made, soldiers, weak, he, issued, an, edict, forbade, to, ensure, quality, ban, on, great, shock, kind, noticed, injustice, decree, held, law, church, and, helped, lovers, came, him, uniting, them, holy, matrimony, but, it, only, matter, time, before, heard, about, this, friend, had, arrested, imprisoned, while, waiting, for, sentence, jailer, approached, use, saintly, power, heal, blind, daughter, succeeded, her, sight, restored, they, became, close, fell, love, after, verdict, asked, agree, ...]"
36,5797,23.96,12.75,0.43,5,"[although, the, dodo, is, poster, boy, of, extinction, it, took, 100, years, before, anyone, realized, that, had, in, fact, gone, extinct, as, a, concept, made, no, sense, to, reasons, are, twofold, first, make, god, would, let, all, his, hard, work, go, waste, and, creatures, die, out, second, one, imagined, earth, was, very, old, 1650s, an, irish, bishop, james, ussher, looked, at, who, begat, bible, using, this, he, announced, less, than, 6, 000, even, more, precisely, created, on, sunday, 23rd, october, 4004, b, c, though, technically, should, have, been, day, off, clue, maybe, tiny, bit, came, from, fossils, for, people, thought, ...]"
37,8441,25.0,12.29,0.5,2,"[it, is, said, the, things, in, life, that, give, for, and, these, really, of, more, like, a, than, he, been, over, just, one, i, started, thing, with, to, how, can, make, lot, had, which, usually, only, who, wanna, some, or, going, often, little, pleasure, hironori, ikeno, his, restaurant, patrons, old, tokyo, district, nohachi, tiny, pieces, sushi, scientist, chef, has, crafting, itty-bitty, edibles, decade, using, grain, rice, actually, whole, joke, customer, whom, served, miniscule, wonder, each, piece, takes, five, minutes, create, versus, minute, its, larger, cousin, despite, their, diminutive, size, still, pack, flavor, says, regular, hisako, okamoto, white-flesh, fish, grated, japanese, ...]"
38,8456,20.16,14.79,0.43,15,"[saying, not, any, college, go, school, this, from, famous, be, thought, at, speak, here, me, that, back, your, crack, step, cracks, sidewalks, on, see, commonly, cement, common, meaning, out, find, myself, down, word, break, australian, written, house, our, in, books, dictionary, a, had, if, easy, been, would, which, meant, what, look, went, then, yes, said, immediately, speech, commencement, make, asked, was, when, up, listen, so, finish, till, graduate, but, tuesday, fat, since, slept, headaches, splitting, have, hungover, most, realize, i, 2009, of, class, graduating, the, all, to, teacher, spanish, creepy, and, faculty, honored, are, who, know, undistinguished, guests, distinguished, mrs, ...]"
39,8457,39.29,14.28,0.27,6,"[for, centuries, people, have, consumed, bugs, everything, from, beetles, to, caterpillars, locusts, grasshoppers, termites, and, dragonflies, the, practice, even, has, a, name, entomophagy, early, probably, learned, animals, that, foraged, protein-rich, insects, followed, suit, as, we, evolved, became, part, of, our, dietary, tradition, they, fulfilled, role, both, staple, food, delicacy, in, ancient, greece, were, considered, luxury, snacks, found, beetle, larvae, be, why, lost, taste, reason, rejection, is, historical, story, begins, around, 10, 000, b, c, fertile, crescent, place, middle, east, was, major, birthplace, agriculture, back, then, once-nomadic, ancestors, began, settle, farm, crops, domesticate, there, attitudes, changed, rippling, outwards, towards, europe, rest, ...]"
40,2093,25.39,16.94,0.14,5,"[home, is, where, we, keep, the, things, need, whether, a, lawn, mower, or, coffee, pot, it, has, in, our, lives, of, course, documents, are, no, different, for, years, lived, on, computers, each, person, their, own, computer-based, when, to, share, document, usually, attach, an, email, and, send, computer, problem, you, copies, created, consider, this, if, attachment, three, people, same, will, exist, four, places, better, way, means, saying, goodbye, messy, attachments, new, kind, your, internet, that, makes, sharing, collaborating, much, easier, gives, full, control, over, who, can, see, access, basic, idea, instead, attaching, switch, around, look, at, how, address, meet, sam, editor, ...]"
41,8547,20.45,13.76,0.11,3,"[how, to, look, great, in, photographs, sure, a, beautiful, photograph, takes, some, skill, behind, the, lens, but, it, little, front, of, too, you, will, need, photographer, and, camera, with, flash, step, one, when, choosing, your, clothes, leave, bright, colors, crazy, patterns, horizontal, stripes, closet, neutral, best, two, check, face, mirror, do, have, any, could, cover, or, greasy, skin, that, needs, powdering, eyes, use, drops, clear, up, are, eyebrows, trim, neat, if, wear, makeup, remember, more, intense, photos, especially, on, black, white, film, three, try, pictures, taken, outside, morning, before, sunset, light, is, soft, flattering, at, these, times, whereas, high, noon, ...]"
42,8545,16.8,15.41,0.27,6,"[job, interviews, are, a, crucible, of, public, speaking, skills, and, question, answering, many, the, things, that, apply, to, effective, q, in, interview, mostly, we, go, school, learn, skill, whatever, it, is, going, do, but, very, rarely, taught, how, get, what, want, you, have, sell, yourself, there, some, tips, i, think, important, for, consider, before, into, absolute, preparation, key, really, need, understand, up, know, your, material, single, best, predictor, this, about, company, proxy, shows, interviewer, not, just, trying, find, work, them, so, my, advice, due, diligence, questions, be, behavioral, ask, much, did, at, give, me, an, example, when, had, crisis, manage, ...]"
43,6061,16.42,14.26,0.19,3,"[this, simple, water, test, can, be, used, to, determine, if, the, pan, is, at, right, temperature, before, adding, oil, as, heats, up, add, about, an, eighth, of, a, teaspoon, every, 10, 15, seconds, you, see, cold, do, anything, but, will, start, steam, and, then, eventually, bubble, it, continues, heat, even, quicker, soon, bubbles, evaporate, hits, when, added, starts, disperse, into, smaller, beads, nears, proper, form, ball, almost, like, mercury, that, floats, on, surface, there, are, still, many, balls, wipe, dry, wait, few, more, try, again, mercury-like, immediately, with, no, or, very, other, means, ready, for, sticking, not, occur, because, food, ...]"
44,3791,26.0,12.62,0.09,9,"[examples, lattice, variations, many, motion, continuous, meet, where, area, lines, horizontal, four, stays, glass, time, swirl, sauce, onto, amount, another, inside, drawing, define, wide, centimeter, dot, only, sunrise, create, outside, stripe, half, bottom, cappuccino, movement, fluid, one, edge, spiral, spikes, eight, amounts, foam, dollop, carefully, refrigerate, becomes, thoroughly, mix, over, sprinkle, shot, double, make, imagination, good, spoon, dessert, powder, nozzle, fine, bottle, squeezable, these, endless, possibilities, fun, lot, syrup, chocolate, some, at, look, have, move, wrist, action, relaxed, depends, pattern, finish, line, keeping, sway, come, starts, white, between, out, times, five, base, down, now, heart, pull, circle, milky, creating, break, ...]"
45,7184,27.13,12.96,0.19,4,"[whole, cities, mythical, anymore, talking, bigger, times, big, strip, hit, now, okay, bars, piano, lounges, cocktail, old-school, world, street, fremont, downtown, head, daddy-o, classic, taste, looking, it, have, can, want, had, best, long, earth, us, remind, other, no, dazzles, sky, under, jewels, cluster, calls, descends, nighttime, drive, half-a-day, canyon, grand, town, miles, 50, fire, valley, way, own, surprises, nature, mother, enough, still, paradise, offer, each, experiences, shopping, dining, shows, sampling, others, few, least, themes, unique, explore, out, will, stay, rest, again, outside, one, land, possible, self-contained, vast, so, are, resorts, bay, mandalay, mirage, toes, between, sand, feel, heels, those, off, ...]"
